bounty_id,level,rank,firstName,lastName,fleetName,flagshipName,gender,faction,portrait,greetingText,suppressIntel,postedByFaction,creditReward,repReward,intelText,flagshipVariantId,fleetVariantIds,minimumFleetFP,playerFPScalingFactor,specialItemRewards,neverSpawnWhenFactionHostile,neverSpawnWhenFactionNonHostile,neverSpawnBeforeCycle,neverSpawnBeforeLevel,neverSpawnBeforeFleetPoints
aBadIdea2_pilum_dreadnought_bounty,30,spaceAdmiral,Gilgamesh,,Star of Creation that Split Heaven and Earth,Enkidu,MALE,pirates,graphics/portraits/aBadIdea2_gil.png,"In my talons, I shape clay, crafting life forms as I please. Around me is a burgeoning empire of steel. From my throne room, lines of power careen into the skies of the Persean sector. My whims will become lightning bolts that devastate the mounds of humanity. Out of the chaos, they will run and whimper, praying for me to end their tedious anarchy. I am drunk with this vision. God: the title suits me well. Welcome to my DEATH MACHINE, interloper!",FALSE,hegemony,450000,25,"The factions of the Sector have put out a maximum priority bounty on Gilgamesh, a self-proclaimed ""King of Starfarers"". This appears to be a response to his stated mission of purging the Sector of all ""mongrels unfit for continued existence""... although his unbearably smug face might also have something to do with it. Don't take Enkidu lightly, however; it has proven to be more than most competing bounty hunters could handle.",aBadIdea2_pilum_dreadnought_Standard,"aBadIdea2_pilum_capital_Artillery, aBadIdea2_pilum_capital_Artillery, aBadIdea2_pilum_cruiser_Artillery, aBadIdea2_pilum_cruiser_Artillery, aBadIdea2_pilum_cruiser_Artillery, aBadIdea2_pilum_cruiser_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_destroyer_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery, aBadIdea2_pilum_frigate_Artillery",226,1.25,,TRUE,FALSE,208,25,100
aBadIdea2_bettergon_bounty,30,spaceAdmiral,Phillip,Andrada,Worst Thing,3D Printed Abomination,MALE,sindrian_diktat,graphics/portraits/andrada143.jpg,Hahahahahahahahahahahahahaha,FALSE,tritachyon,450000,25,"Some dingbat welded a bunch of paragons together and fucked off with it. We don't care much for the return of the garbled mess, but he needs to be taught a lesson about property theft",aBadIdea2_bettergon_Standard,,200,1.25,,FALSE,FALSE,208,25,100
,,,,,,,,,,,,,,,,,,,,,,,,,
# NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
# bounty_id : line ID. Must be unique across all mods. I recommend a prefix,,,,,,,,,,,,,,,,,,,,,,,,,
# level : character level of bounty captain,,,,,,,,,,,,,,,,,,,,,,,,,
# rank : must match a rank ID in Ranks,,,,,,,,,,,,,,,,,,,,,,,,,
# firstName : bounty captain's first name,,,,,,,,,,,,,,,,,,,,,,,,,
# lastName : bounty captain's last name,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetName : full name of bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipName : name of flagship. Needs to include prefix as it won't have it otherwise,,,,,,,,,,,,,,,,,,,,,,,,,
# gender : must match a gender enum in FullName,,,,,,,,,,,,,,,,,,,,,,,,,
# faction : faction id for bounty fleet and captain,,,,,,,,,,,,,,,,,,,,,,,,,
# portrait : filepath for bounty portrait. Must be loaded by the game,,,,,,,,,,,,,,,,,,,,,,,,,
# greetingText : full text that displays if/when you open comms with bounty fleet,,,,,,,,,,,,,,,,,,,,,,,,,
# suppressIntel : if TRUE do not show intel event when bounty spawns,,,,,,,,,,,,,,,,,,,,,,,,,
# postedByFaction : faction shown in intel panel as issuer of bounty. Also faction which rep reward applies to,,,,,,,,,,,,,,,,,,,,,,,,,
# creditReward : credits paid out for bounty,,,,,,,,,,,,,,,,,,,,,,,,,
# repReward : reputation points with issuing faction paid out for bounty on a 100 point scale,,,,,,,,,,,,,,,,,,,,,,,,,
# intelText : text what goes in the intel panel,,,,,,,,,,,,,,,,,,,,,,,,,
# flagshipVariant : variant ID of bounty flagship. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,
# fleetVariants : comma seperated list of variant ids for rest of bounty fleet. Will NOT use autofit,,,,,,,,,,,,,,,,,,,,,,,,,
# minimumFleetFP : random faction ships will be added to fleet until its FP passes this number.,,,,,,,,,,,,,,,,,,,,,,,,,
# playerFPScalingFactor : random faction ships will be added to fleet until its FP passes the player fleet FP multiplied by this number.,,,,,,,,,,,,,,,,,,,,,,,,,
# specialItemsList : comma seperated list of special item ids dropped by fleet.  CURRENTLY DOES NOT WORK SORRY,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionHostile : if TRUE never spawn when player is hostile to issuing faction,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnWhenFactionNonHostile: if TRUE never spawn when player is friendly or neutral to target faction,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeCycle : if over 206 never spawn before said cycle,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeLevel : if over 1 never spawn when player is below said character level,,,,,,,,,,,,,,,,,,,,,,,,,
# neverSpawnBeforeFleetPoints : if over 1 never spawn when player fleet is less than said fleet points,,,,,,,,,,,,,,,,,,,,,,,,,
